!sil	▁ J
admire	▁b j z gG
admirer	▁f j z gG o
admires	▁b j z gG S
admissible	▁b j z tH fh fx
admission	▁b j z t ItA
admissions	▁b j z t ItA S
admit	▁b j z tL
admits	▁b j z tLH
admitted	▁b j z tL tj
admittedly	▁b j z tL tj xu
admitting	▁b j z tL tB
admonition	▁b j z fA t ItA
admonitions	▁b j z fA t ItA S
adobo	▁f j D h D
adolescence	▁b j fx lH tAH
adolescents	▁b j fx lH tAL H
adolf	▁b j a x q
adolph's	▁b j a x q H
adopt	▁f j aF L
adopt-	▁f j aF L
adopt-a-highway	▁f j aF L f s g Qp
adopted	▁f j aF L tj
adopting	▁f j aF L tB
adoption	▁f j aF ItA
adoptive	▁f j aF L tP
adopts	▁f j aF L H
adorable	▁f j DG fh fx
adore	▁f j DG
adored	▁f j DG j
adornment	▁f j DG A ztAL
adrenalin	▁f j G lA fx tA
adrenaline	▁f j G lA fx tA
adrian	▁p j Gu tA
adrift	▁f j G tq L
adroit	▁f j G E L
ads	▁b j S
adubato	▁b j O h aL D
adult	▁b j fx L
adult's	▁b j fx L H
adulthood	▁f j c x L s Nj
adults	▁b j fx L H
adv-	▁b j P
adva-	▁b j P b
advan-	▁b j P bA
advance	▁b j P bA H
advanced	▁b j P bA HL
advancement	▁b j P bA H ztAL
advances	▁b j P bA H tS
advancing	▁b j P bA H tB
advantage	▁b j P b AL tv
advantaged	▁b j P b AL tv j
advantageous	▁b j P fAL p v tH
advantages	▁b j P b AL tv tS
advent	▁b j P lAL
adventists	▁b j P lAL tHL H
adventure	▁b j P lA i o
adventured	▁b j P lA i oj
adventurer	▁b j P lA i fG o
adventures	▁b j P lA i oS
adventuresome	▁b j P lA i oH fz
adventurous	▁b j P lA i fG tH
adver-	▁b j Po
adversaries	▁b j Po H lGu S
adverse	▁b j Po H
advert-	▁b j Po L
advertise	▁b j Po L gS
advertised	▁b j Po L gS j
advertisement	▁b j Po L gS ztAL
advertisements	▁b j Po L gS ztAL H
advertisers	▁b j Po L gS oS
advertising	▁b j Po L gS tB
advice	▁b j P g H
advil	▁b j P tx
advisable	▁b j P gS fh fx
advise	▁b j P gS
advised	▁b j P gS j
advisement	▁b j P gS ztAL
advises	▁b j P gS tS
advising	▁b j P gS tB
advisor	▁b j P gS o
advisors	▁b j P gS fG S
advisory	▁b j P gS f Gu
advocacy	▁b j P f w fH u
advocate	▁b j P f w pL
advocates	▁b j P f w pL H
advocating	▁b j P f w pL tB
ae-	▁f
aerate	▁ pG pL
aerial	▁p Gu fx
aero-	▁ pG D
aerob-	▁fG D h
aerobatics	▁ pG fh bL twH
aerobic	▁fG D h tw
aerobically	▁fG D h tw xu
aerobics	▁fG D h twH
aerodynamic	▁ pG D j g A b z tw
aerodyne	▁ pG D j g A
aeronautical	▁ pG fA dL twfx
aerosmith	▁ pG D H z t M
aerosol	▁ pG fH dx
aerosols	▁ pG fH dx H
aerospace	▁ pG D H F pH
aerostar	▁ pG DHL aG
aesthetic	▁l H M lL tw
aesthetically	▁l H M lL tw xu
aetna	▁l L A f
af-	▁b q
af-	▁f q
afar	▁f q aG
aff-	▁b q
aff-	▁f q
affair	▁f q pG
affairs	▁f q pG S
affect	▁b q lwL
affect-	▁b q lw
affected	▁f q lwL tj
affecting	▁f q lwL tB
affection	▁f q lw ItA
affectionate	▁f q lw ItA tL
affects	▁b q lwH
affidavit	▁b q tj p P tL
affiliate	▁f q t xu pL
affiliated	▁f q t xu pL tj
affiliates	▁f q t xu pL H
affiliation	▁f q t xu pItA
affirmative	▁f q o z fL tP
affixing	▁f q twH tB
afflicted	▁f q x tw L tj
affluence	▁b q x O tAH
affluent	▁b q x O tAL
affluents	▁b q x O tAL H
afford	▁f qDG j
affordable	▁f qDG j fh fx
afforded	▁f qDG j tj
affording	▁f qDG j tB
affords	▁f qDG j S
afghan	▁b q r bA
afghani	▁b q r bA u
afghanis-	▁b q r bA tH
afghanistan	▁b q r bA tHL bA
afghanistanis	▁b q r bA tHL bA tH
afghans	▁b q r bA S
afloat	▁f q x DL
afoot	▁f q N L
afraid	▁f q G p j
afresh	▁f q G l I
afri-	▁b q G tw fA
africa	▁b q G tw f
african	▁b q G tw fA
africans	▁b q G tw fA S
aft-	▁b qL
after	▁b qL o
afterburners	▁b qL o h oA oS
aftermath	▁b qL o z b M
afternoon	▁b qL oA O A
afternoons	▁b qL oA O A S
afterthought	▁b qL o M dL
afterward	▁b qL o Q oj
afterwards	▁b qL o Q oj S
ag-	▁b r
ag-	▁fr
ag-	▁p v
aga-	▁b r f
agai-	▁fr l
again	▁fr lA
again-	▁fr lA
against	▁fr lA HL
agape	▁fr p F
agatha	▁b r f M f
age	▁p v
aged	▁p v j
agencies	▁p v tAH uS
agency	▁p v tAH u
agenda	▁f v lAj f
agent	▁p v tAL
agents	▁p v tAL H
ager	▁p r o
ages	▁p v tS
agewise	▁p v Q gS
agey	▁p v u
aggrava-	▁b r G f P p
aggravate	▁b r G f P pL
aggravated	▁b r G f P pL tj
aggravates	▁b r G f P pL H
aggravating	▁b r G f P pL tB
aggravation	▁b r G f P pItA
aggress-	▁fr G lH
aggression	▁fr G l ItA
aggressions	▁fr G l ItA S
aggressive	▁fr G lH tP
aggressor	▁fr G lH o
aghast	▁fr bHL
agile	▁b v fx
aging	▁p v tB
agitating	▁b v tL pL tB
agnostic	▁b r A a HL tw
agnus	▁b r A c H
ago	▁fr D
agony	▁b r fA u
agr-	▁fr G
agrarian	▁fr G lGu tA
agree	▁fr Gu
agreeable	▁fr Gu fh fx
agreed	▁fr Gu j
agreeing	▁fr Gu tB
agreement	▁fr Gu ztAL
agreements	▁fr Gu ztAL H
agrees	▁fr Gu S
agri-	▁b r G t
agricultural	▁b r G tw c x i fG fx
agriculturally	▁b r G tw c x i fG fxu
agriculture	▁b r G tw c x i o
aguirre	▁fr uG f
ah	▁ a
ah-	▁f s
aha	▁ a s a
ahead	▁f s lj
ahold	▁f s D xj
ai-	▁p
aid	▁p j
aid-	▁p j
aide	▁p j
aides	▁p j S
aids	▁p j S
aikman	▁g w z fA
aikman's	▁g w z fA S
ailment	▁p x ztAL
ailments	▁p x ztAL H
aim	▁p z
aimed	▁p z j
aiming	▁p z tB
aimlessly	▁p z x tH xu
ain't	▁p AL
aines	▁p A S
ainge	▁bA v
ainsley	▁p A S xu
air	▁ pG
air's	▁ pG S
air-	▁ pG
air-conditioned	▁ pG w fAj tI t Aj
air-conditioning	▁ pG w fAj t ItA tB
airbags	▁ pG h b rS
airborne	▁ pG h DG A
aircraft	▁ pG w G b qL
aire	▁ pG
aired	▁ pG j
airedale	▁ pG j p x
aires	▁b Gu S
airfare	▁ pG q pG
airheaded	▁ pG s lj tj
airless	▁ pG x tH
airline	▁ pG x g A
airlines	▁ pG x g A S
airpl-	▁ pG F x
airplane	▁ pG F x pA
airplanes	▁ pG F x pA S
airport	▁ pG F DGL
airport's	▁ pG F DGL H
airports	▁ pG F DGL H
airs	▁ pG S
airspace	▁ pG H F pH
airtight	▁ pG L gL
airw-	▁ pG Q
airwaves	▁ pG Qp P S
airway	▁ pG Qp
airways	▁ pG QpS
airy	▁p Gu
aisle	▁g x
aisles	▁g x S
ak-47	▁p wp q DGL u H lP tA
ak-47s	▁p wp q DGL u H lP tA S
akals	▁f w a x S
akeem	▁f w u z
akin	▁f w tA
akita	▁f w u L f
akron	▁bw G fA
al	▁b x
al-	▁b x
al-	▁dx
al-	▁f x
alaba-	▁b x fh b
alabama	▁b x fh b z f
alamo	▁b xfz D
alamogordo	▁b xfz f r DG j D
alamos	▁b xfz D H
alan	▁b x fA
alarm	▁f x aG z
alarmed	▁f x aG z j
alarms	▁f x aG zS
alaska	▁f x bH w f
alaska's	▁f x bH w f S
alaskan	▁f x bH w fA
alastair	▁b x tHL o
albania	▁b x h pA u f
albany	▁b x h fA u
albequerque	▁b x h f w o w u
albert	▁b x h oL
alberta	▁b x h oL f
albertson's	▁b x h oL H fA S
albridge	▁dx h G tv
albrough	▁b x h G N D
album	▁b x h fz
albums	▁b x h fz S
albuque-	▁b x h f w
albuquerque	▁b x h f w o w u
alcatraz	▁b x w fL G b S
alcohol	▁b x w f s dx
alcohol's	▁b x w f s dx S
alcoholi-	▁b x w f s dx t
alcoholic	▁b x w f s dx tw
alcoholics	▁b x w f s dx twH
alcoholism	▁b x w f s dx tS fz
alda	▁dx j f
aldus	▁dx j tH
ale	▁p x
ale's	▁p x S
alec	▁b x tw
alert	▁f x oL
alerted	▁f x oL tj
alerts	▁f x oL H
alex	▁b x twH
alex-	▁b x tr S bAj o
alexan-	▁b x tr S bA
alexander	▁b x tr S bAj o
alexandria	▁b x twH bAj Guf
alfa	▁b x q f
alfred	▁b x q G tj
alfredo	▁b x q G p j D
alfredo's	▁b x q G p j DS
algae	▁b x v u
algebra	▁b x v fh G f
algeria	▁b x v u Guf
algorithm	▁b x r fG t k fz
ali	▁ a xu
alien	▁p xu tA
alienate	▁p xu tA pL
alienated	▁p xu tA pL tj
aliens	▁p xu tA S
align	▁f x g A
aligned	▁f x gAj
alignment	▁f x g A ztAL
alignments	▁f x g A ztAL H
alike	▁f x g w
alimony	▁b x tz D A u
alive	▁f x g P
alk-	▁b x w f
alkaline	▁b x w fx g A
alkies	▁b x w uS
all	▁dx
all's	▁dx S
all-star	▁dx HL aG
allah	▁b x f
allante	▁f x a AL p
allege	▁f x l v
alleged	▁f x l v j
allegedly	▁f x l v tj xu
allegheny	▁b x f r pA u
allen	▁b x tA
allen's	▁b x tA S
allendal	▁b x t Aj p x
allendale	▁b x t Aj p x
allenstown	▁b x tA S L eA
allentown	▁b x tAL eA
allergic	▁f x o v tw
allergies	▁b x o v uS
allergist	▁b x o v tHL
allergy	▁b x o v u
alleviate	▁f xu P u pL
alleviated	▁f xu P u pL tj
alleviates	▁f xu P u pL H
alleviating	▁f xu P u pL tB
alley	▁b xu
alley's	▁b xu S
alleys	▁b xu S
alleyway	▁b xu Qp
alleyways	▁b xu QpS
alliance	▁f x g tAH
alliances	▁f x g tAH tS
allied	▁b x gj
allies	▁b x gS
alligator	▁b x tr pL o
allocate	▁b x f w pL
allocated	▁b x f w pL tj
allocation	▁b x f wp ItA
allocation's	▁b x f wp ItA S
allot	▁f x aL
allotment	▁f x aL ztAL
allots	▁f x aL H
allotted	▁f x aL tj
allow	▁f x e
allow-	▁f x d
allowable	▁f x e fh fx
allowance	▁f x e fA H
allowances	▁f x e fA H tS
allowed	▁f x e j
allowing	▁f x e tB
allows	▁f x e S
allstate	▁dx HL pL
alluded	▁f x Oj tj
alluding	▁f x Oj tB
allure	▁f x NG
alluring	▁f x NG tB
ally	▁b x g
allyson	▁b x tH fA
alm-	▁dx z
alma	▁ a x z f
almanac	▁dx z fA b w
almetco	▁dx z lL w D
almighty	▁dx z gL u
almo-	▁dx z D
almos-	▁dx z D H
almost	▁dx z DHL
alo-	▁f x d
alo-	▁f x D
aloe	▁b x D
alone	▁f x D A
along	▁f x dB
aloud	▁f x e j
alpert	▁b x F oL
alpha	▁b x q f
alphabet	▁b x q fh lL
alpine	▁b x F g A
alps	▁b x F H
alr-	▁dx G
alrea-	▁dx G l
